X,CH1,Start,Increment,
960,2.00E-01,,,
961,-4.35E-05,,,
962,-2.00E-01,,,
963,-4.35E-05,,,
964,-4.35E-05,,,
965,-4.35E-05,,,
966,-4.35E-05,,,
967,-4.35E-05,,,
968,-4.35E-05,,,
969,-4.35E-05,,,
970,2.00E-01,,,
971,2.00E-01,,,
972,2.00E-01,,,
973,2.00E-01,,,
974,2.00E-01,,,
975,4.00E-01,,,
976,4.00E-01,,,
977,2.00E-01,,,
978,2.00E-01,,,
979,2.00E-01,,,
980,2.00E-01,,,
981,4.00E-01,,,
982,4.00E-01,,,
983,4.00E-01,,,
984,4.00E-01,,,
985,4.00E-01,,,
986,4.00E-01,,,
987,6.00E-01,,,
988,2.00E-01,,,
989,4.00E-01,,,
990,2.00E-01,,,
991,2.00E-01,,,
992,-4.35E-05,,,
993,-4.00E-01,,,
994,-6.00E-01,,,
995,-6.00E-01,,,
996,-6.00E-01,,,
997,-4.00E-01,,,
998,-6.00E-01,,,
999,-6.00E-01,,,
1000,-6.00E-01,,,
1001,-4.00E-01,,,
1002,-6.00E-01,,,
1003,-4.00E-01,,,
1004,-6.00E-01,,,
1005,-4.00E-01,,,
1006,-8.00E-01,,,
1007,-6.00E-01,,,
1008,-4.00E-01,,,
1009,-4.00E-01,,,
1010,-6.00E-01,,,
1011,-8.00E-01,,,
1012,-1.60E+00,,,
1013,-2.00E+00,,,
1014,-2.20E+00,,,
1015,-2.20E+00,,,
1016,-2.40E+00,,,
1017,-2.20E+00,,,
1018,-2.40E+00,,,
1019,-2.40E+00,,,
1020,-2.60E+00,,,
1021,-2.40E+00,,,
1022,-2.60E+00,,,
1023,-2.40E+00,,,
1024,-2.40E+00,,,
1025,-2.40E+00,,,
1026,-2.60E+00,,,
1027,-2.40E+00,,,
1028,-2.60E+00,,,
1029,-2.40E+00,,,
1030,-2.60E+00,,,
1031,-2.80E+00,,,
1032,-3.80E+00,,,
1033,-4.40E+00,,,
1034,-4.40E+00,,,
1035,-4.60E+00,,,
1036,-5.00E+00,,,
1037,-4.80E+00,,,
1038,-5.00E+00,,,
1039,-5.00E+00,,,
1040,-5.00E+00,,,
1041,-5.00E+00,,,
1042,-5.00E+00,,,
1043,-5.00E+00,,,
1044,-5.00E+00,,,
1045,-4.80E+00,,,
1046,-4.80E+00,,,
1047,-5.00E+00,,,
1048,-4.80E+00,,,
1049,-5.00E+00,,,
1050,-5.00E+00,,,
1051,-5.00E+00,,,
1052,-5.80E+00,,,
1053,-6.00E+00,,,
1054,-6.20E+00,,,
1055,-6.20E+00,,,
1056,-6.20E+00,,,
1057,-6.40E+00,,,
1058,-6.40E+00,,,
1059,-6.40E+00,,,
1060,-6.60E+00,,,
1061,-6.40E+00,,,
1062,-6.40E+00,,,
1063,-6.40E+00,,,
1064,-6.40E+00,,,
1065,-6.20E+00,,,
1066,-6.40E+00,,,
1067,-6.20E+00,,,
1068,-6.60E+00,,,
1069,-6.40E+00,,,
1070,-6.60E+00,,,
1071,-6.40E+00,,,
1072,-6.20E+00,,,
1073,-6.20E+00,,,
1074,-6.40E+00,,,
1075,-6.20E+00,,,
1076,-6.40E+00,,,
1077,-6.20E+00,,,
1078,-6.20E+00,,,
1079,-6.20E+00,,,
1080,-6.40E+00,,,
